2008,
2010,0.42998346362
2025,0.254030016676,0.312411825564
2026,0.262414485552,0.322267470272,0.540640323046
2027,0.244036330971,0.304230021357,0.487297006733,0.525392455483
2030,0.199701891128,0.251394814572,0.40141896938,0.423587765225,0.454742195531
2032,0.141041292639,0.174754577734,0.270716471188,0.282128995683,0.306244359448,0.378481636677
2040,0.0783277018155,0.102835726387,0.166533136777,0.171780544391,0.185966840115,0.217295558193,0.29222826087
2042,0.0788162956856,0.0997682152575,0.15519657393,0.15984336634,0.173908901837,0.202938602552,0.271494545211,0.415229486169
2060,0.0414220082058,0.0540498065764,0.0840763596517,0.0864866129391,0.0966240759438,0.115031421616,0.166222276707,0.251556552534,0.280594038623
2070,0.0310552300187,0.0402434179288,0.0634307468369,0.0651410776635,0.0732516925154,0.0850522097213,0.122799161907,0.187572920095,0.209089627855,0.335371372512
2080,0.0222795862858,0.0293775052246,0.048338869056,0.0497034192539,0.0564036437752,0.0643476555157,0.0912956800558,0.148621211813,0.162247593886,0.264068456579,0.329858199978
2082,0.0212985286976,0.0274995155569,0.0459940652819,0.0473136515568,0.0534623634786,0.060979338311,0.0864559988047,0.141001581727,0.153996101365,0.254416655619,0.302637548462,0.386600297793
2084,0.0199416109631,0.0257657088728,0.04322834947,0.0444408395325,0.0502270823567,0.0573426573427,0.0815456090012,0.133786285474,0.14617551928,0.243026702961,0.3007947315,0.391232124131,0.415238375542
2100,0.0119224225927,0.0142381157934,0.021893207391,0.022689804485,0.0273476893872,0.0314703722239,0.0509511659355,0.0909690952314,0.10147876362,0.150668268805,0.190163685084,0.237998633476,0.243704896772,0.24858109804
2102,0.00908199968187,0.0108712825871,0.0165301228894,0.0170219823297,0.0205806044457,0.0238255698712,0.0397734799311,0.0707801831366,0.077815477941,0.122783393027,0.154832768528,0.188837316999,0.192775702498,0.197580713513,0.336054361596
2104,0.0086401070774,0.0103650337645,0.0155558150624,0.0160290921905,0.0194983218857,0.0224777684442,0.0379954778275,0.0672128039163,0.0736107120034,0.115576517217,0.146114053277,0.17674264835,0.179532967973,0.184381670391,0.316038336673,0.408949073348
2200,0.00533006759554,0.00633539457548,0.00961481115437,0.0100196968399,0.0127062198996,0.0150616427344,0.025417388405,0.0449521199642,0.047994725268,0.0774114474813,0.0947353631201,0.115037186993,0.1155291132,0.12040664593,0.204722749915,0.283971933342,0.293307417629
2202,0.00455319946845,0.00553852641139,0.00853114986972,0.00884490936574,0.0112361796989,0.0136462211227,0.0218293908015,0.0397947659545,0.0424363526587,0.0692025451674,0.0852409516916,0.102161147047,0.102090353786,0.106898209002,0.179994441084,0.256399441819,0.264547645845,0.37674339961
2300,0.00326582340182,0.0041145520418,0.00594236921241,0.00618953766531,0.00787061088072,0.00966711123444,0.0157718091602,0.0307743152083,0.0313917237484,0.0568165261734,0.0693365477958,0.0819319496362,0.0815377331782,0.0857839932761,0.13537776948,0.202173367213,0.208397342518,0.285302409623,0.322047654831
2302,0.00310102676439,0.00393885791079,0.00574416857449,0.00598729517929,0.00764613871476,0.00940824605095,0.0153547071926,0.0301877581469,0.0307992661112,0.0557488332626,0.0680928814652,0.0805029543128,0.079902936843,0.0846961523801,0.133541937599,0.199810903879,0.205777502915,0.279978471074,0.31592866407,0.415786468517
