2008, 12647, 2010, 13961, 11441, 0.42998346362
2008, 12647, 2025, 17936, 7769, 0.254030016676
2008, 12647, 2026, 16734, 7710, 0.262414485552
2008, 12647, 2027, 17410, 7335, 0.244036330971
2008, 12647, 2030, 19556, 6431, 0.199701891128
2008, 12647, 2032, 29128, 5892, 0.141041292639
2008, 12647, 2040, 44472, 4474, 0.0783277018155
2008, 12647, 2042, 45577, 4589, 0.0788162956856
2008, 12647, 2060, 68759, 3372, 0.0414220082058
2008, 12647, 2070, 89236, 3164, 0.0310552300187
2008, 12647, 2080, 102795, 2572, 0.0222795862858
2008, 12647, 2082, 104732, 2500, 0.0212985286976
2008, 12647, 2084, 112719, 2500, 0.0199416109631
2008, 12647, 2100, 134303, 1752, 0.0119224225927
2008, 12647, 2102, 182244, 1770, 0.00908199968187
2008, 12647, 2104, 187582, 1730, 0.0086401070774
2008, 12647, 2200, 216806, 1223, 0.00533006759554
2008, 12647, 2202, 232675, 1117, 0.00455319946845
2008, 12647, 2300, 315601, 1072, 0.00326582340182
2008, 12647, 2302, 320146, 1032, 0.00310102676439
2008, 12647, 2304, 328137, 1026, 0.00301070472792
2008, 12647, 2306, 342077, 935, 0.0026358520991
2008, 12647, 2400, 380830, 725, 0.00184254734076
2008, 12647, 2402, 372865, 717, 0.00185986428438
2008, 12647, 2500, 435981, 681, 0.00151796142907
2008, 12647, 2502, 497627, 669, 0.00131106033229
2008, 12647, 2504, 500571, 665, 0.00129574566753
2008, 12647, 3006, 500571, 665, 0.00129574566753
2008, 12647, 3008, 497649, 665, 0.00130316522175
2008, 12647, 3010, 499890, 665, 0.0012974673048
2008, 12647, 3012, 500414, 665, 0.00129614217413
2008, 12647, 3014, 512364, 556, 0.00105902542994
2008, 12647, 3016, 515187, 532, 0.00100789263291
2008, 12647, 3020, 531669, 532, 0.000977373437489
2008, 12647, 3022, 544614, 532, 0.000954669356011
2008, 12647, 3030, 551163, 532, 0.000943580284138
2008, 12647, 3034, 552022, 518, 0.000917351581192
2008, 12647, 3040, 561763, 518, 0.000901794885187
2008, 12647, 3042, 559900, 518, 0.000904729218737
2008, 12647, 3050, 584025, 504, 0.000844685187172
2008, 12647, 3052, 576958, 504, 0.000854809575903
2008, 12647, 3100, 639139, 504, 0.000773259935009
2008, 12647, 3110, 655851, 528, 0.000789830336067
2008, 12647, 4000, 689935, 533, 0.000758630309345
2008, 12647, 4002, 703058, 533, 0.000744720240881
2008, 12647, 4004, 705862, 533, 0.000741813950834
2008, 12647, 4100, 719552, 528, 0.000721115434465
2008, 12647, 4102, 720016, 528, 0.00072065874761
2008, 12647, 4104, 720314, 528, 0.000720365749337
2008, 12647, 4200, 735879, 528, 0.000705386319246
2008, 12647, 4202, 740258, 528, 0.00070128369449
2008, 12647, 4204, 748471, 528, 0.000693716348845
2008, 12647, 4208, 763115, 528, 0.000680621118333
2008, 12647, 4300, 755020, 479, 0.000623968465494
2008, 12647, 4302, 755246, 479, 0.000623784824188
2008, 12647, 4304, 755428, 479, 0.000623637014614
